id;slug;nome_popular;nome_cientifico;origem;fins_plantio_codigos;fins_plantio;comportamento_folhar_codigo;comportamento_folhar;altura;floracao;cor_floracao;frutificacao;regioes_ocorrencia_cultivo;mapa_regiao;descricao
77;inga-banana;Ingá-banana;Inga uruguensis Hooker at Arnott;Nativa;NA FH FA O RMC RAD;Espécie nativa | Consumo humano de fruto | Consumo animal de frutos e/ou néctar | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de mata ciliar | Recuperação de áreas degradadas;SD;Semidecídua;5-10m;;;dezembro-fevereiro;SP até o RS.;mudas/mapas/Ingá_banana.jpg;
78;inga-de-metro;Ingá-de-metro;Inga edulis Mart.;Nativa;NA FH FA RMC RAD;Espécie nativa | Consumo humano de fruto | Consumo animal de frutos e/ou néctar | Recuperação de mata ciliar | Recuperação de áreas degradadas;SD;Semidecídua;6-25m;;;a partir de maio;Região amazônica, toda orla litorânea desde o RN até norte de SC.;mudas/mapas/Ingá_de_metro.jpg;
79;inga-feijao;Ingá-feijão;Inga marginata Willd.;Nativa;NA FH FA O RMC RAD;Espécie nativa | Consumo humano de fruto | Consumo animal de frutos e/ou néctar | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de mata ciliar | Recuperação de áreas degradadas;SD;Semidecídua;5-15m;;;março-maio;Todo o Brasil.;mudas/mapas/Ingá_feijão.jpg;
80;inga-macaco;Ingá-macaco;Inga sessilis (Vell.) Mart.;Nativa;NA FH FA RMC RAD;Espécie nativa | Consumo humano de fruto | Consumo animal de frutos e/ou néctar | Recuperação de mata ciliar | Recuperação de áreas degradadas;SD;Semidecídua;12-20m;;;julho-janeiro;MG até o RS.;mudas/mapas/Ingá_macaco.jpg;
81;inga-quatro-quinas;Ingá-quatro-quinas;Inga striata Benth.;Nativa;NA FA;Espécie nativa | Consumo animal de frutos e/ou néctar;SD;Semidecídua;25-30m;;;;AM até AL. É cultivada em MG até SC.;mudas/mapas/Ingá_quatro_quinas.jpg;
82;ipe-roxo;Ipê-roxo;Handroanthus avellanedae (Lor. Ex Griseb.) Mattos;Nativa;NA S O FLOR RMC RAD;Espécie nativa | Sombreamento | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Floração exuberante | Recuperação de mata ciliar | Recuperação de áreas degradadas;D;Decídua;20-35m;junho-agosto;rosa;;MA até o RS.;mudas/mapas/Ipê_roxo.jpg;
83;ipe-amarelo;Ipê-amarelo;Handroanthus chrysotrichus (Mart. ex DC) Mattos;Nativa;NA S O FLOR RMC RAD;Espécie nativa | Sombreamento | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Floração exuberante | Recuperação de mata ciliar | Recuperação de áreas degradadas;D;Decídua;4-10m;agosto-setembro;amarela;;ES até SC. É cultivada no RS.;mudas/mapas/Ipê_amarelo.jpg;
84;ipe-amarelo-da-serra;Ipê-amarelo-da-serra;Handroanthus alba (Cham.) Mattos;Nativa;NA S O FLOR RMC RAD;Espécie nativa | Sombreamento | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Floração exuberante | Recuperação de mata ciliar | Recuperação de áreas degradadas;D;Decídua;20-30m;julho-setembro;amarela;;RJ, MG até o RS.;mudas/mapas/Ipê_amarelo_da_serra.jpg;
85;ipe-amarelo-de-jardim;Ipê-amarelo-de-jardim;Tecoma stans (L.) Juss. ex Kunth.;Exótica;EX O FLOR;Espécie exótica | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Floração exuberante;SD;Semidecídua;5-7m;abril-setembro;amarela;;Cultivado em todo o Brasil.;mudas/mapas/Ipê_amarelo_de_jardim.jpg;
86;ipe-branco;Ipê-branco;Handroanthus roseo-alba (Rild.) Mattos;Nativa;NA O FLOR RAD;Espécie nativa | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Floração exuberante | Recuperação de áreas degradadas;D;Decídua;7-16m;agosto-outubro;róseo-branca;;Norte de SP, MG, MS e GO. É cultivado no PR, SC e RS.;mudas/mapas/Ipê_branco.jpg;
